"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"MT-ND4L",7.06450891591149e-36,1.46792606263401,1,0.897,1.39898470061795e-31,0.103
"MT-ATP6",2.48003660905013e-17,1.15611607769371,0.986,0.94,4.91121649690197e-13,0.046
"MT-ND4",1.52875420199847e-14,1.16829205880389,0.993,0.989,3.02739194621756e-10,0.004
"MT-CO3",4.04332500268511e-13,1.09029131320419,0.964,0.942,8.00699650281732e-09,0.022
"PALD1",6.71920596758792e-11,-1.39433451808083,0.71,0.821,1.33060435776143e-06,-0.111
"MT-ND5",8.56113897015859e-11,1.2493446119745,0.949,0.931,1.6953623502605e-06,0.0179999999999999
"MT-CO2",3.88359415615601e-09,0.930946287348836,0.971,0.969,7.69068150743575e-05,0.002
"MT-ND6",5.7165561265886e-09,1.27319464959027,0.877,0.784,0.000113204960974834,0.093
"MT-ND2",6.48424586559393e-09,0.959279466073938,0.978,0.973,0.000128407520876357,0.005
"MTRNR2L10",1.67002078096469e-08,0.907095145621343,0.783,0.552,0.000330714215254437,0.231
"ZFYVE16",2.88573039826217e-08,-1.88738542682871,0.957,0.95,0.000571461190767857,0.00700000000000001
"FAM19A5",2.89503282190282e-08,-3.03697433049631,0.971,0.97,0.000573303349721416,0.001
"SEMA4D",4.03010132400329e-08,-2.42078121600639,0.87,0.913,0.000798080965192372,-0.043
"MT-ATP8",4.14774408330801e-08,1.08458836039459,0.797,0.691,0.000821377760817485,0.106
"MTRNR2L12",2.06273450642918e-07,0.67453960093216,0.877,0.706,0.00408483314308171,0.171
"MT-ND1",2.32743407477472e-07,0.864851380639014,0.978,0.938,0.00460901769827638,0.04
"NCOR2",2.3599379236145e-07,-1.73697478546322,0.841,0.865,0.00467338507013379,-0.024
"KIAA0556",2.54639028922109e-07,-0.661992404994938,0.971,0.98,0.00504261668974452,-0.00900000000000001
"MT-CO1",6.74178750434036e-07,1.02358517445971,0.971,0.933,0.0133507617948452,0.0379999999999999
"MYO1E",8.8763276754659e-07,-0.484067847227177,0.978,0.991,0.0175777916957251,-0.013
"BRSK2",9.11438785224716e-07,-2.10850514325478,0.275,0.455,0.0180492222638051,-0.18
"SERINC5",1.14142174796025e-06,-0.828573769426497,0.978,0.97,0.0226035748748568,0.00800000000000001
"HIPK2",1.15285177508043e-06,-0.833381411134215,0.978,0.981,0.0228299237019177,-0.003
"MT-ND3",1.18337575306859e-06,1.12874736276565,0.833,0.743,0.0234343900380172,0.09
"SNX8",1.91608652400274e-06,-0.839204277685633,0.862,0.924,0.0379442614348263,-0.062
"CHST3",2.15478206437324e-06,-1.98070340524746,0.572,0.684,0.0426711492207833,-0.112
"CTNNA3",2.2422094356144e-06,-0.33914907127891,1,0.999,0.044402473453472,0.001
"MT-CYB",2.41352023503973e-06,1.04384913323937,0.957,0.934,0.0477949412144918,0.0229999999999999
"DHFR",2.4453149271868e-06,0.553602135091302,0.913,0.839,0.0484245715030801,0.0740000000000001
"PEX5L",2.79022726984673e-06,-0.307630101014399,0.986,0.99,0.0552548706247749,-0.004
"NOS1",2.84258415628816e-06,-0.454292361804837,0.993,0.986,0.0562916940469744,0.00700000000000001
"ZBTB46",2.99101138176279e-06,-0.876651161858051,0.71,0.788,0.0592309983930486,-0.0780000000000001
"HTT",4.14947563572772e-06,-0.539633875484766,0.986,0.982,0.0821720660143161,0.004
"DST",4.97945367877136e-06,-0.558665778490888,1,0.999,0.0986081212007092,0.001
"GLDN",8.74828177553747e-06,-1.11153165383258,0.884,0.9,0.173242224000969,-0.016
"PEBP4",9.56143234573114e-06,-0.572036241154139,0.971,0.966,0.189345044742514,0.005
"MTRNR2L8",9.86850863697557e-06,0.961781649471549,0.768,0.62,0.195426076538027,0.148
"CCDC88A",1.26091601129343e-05,-0.640687043797724,0.971,0.979,0.249699197716438,-0.00800000000000001
