"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"MT-ND4L",8.21613971991896e-38,1.46792606263401,1,0.897,1.62704214873555e-33
"MT-ATP6",7.95177963810505e-15,1.15611607769371,0.986,0.94,1.57469092173394e-10
"MT-ND4",2.14082035360139e-12,1.16829205880389,0.993,0.989,4.23946654623683e-08
"MT-CO3",8.89334394746794e-12,1.09029131320419,0.964,0.942,1.76114890191708e-07
"MT-ND5",1.16354716340298e-11,1.2493446119745,0.949,0.931,2.30417244768692e-07
"IDI2",1.8043124928851e-09,3.24346248040064,0.101,0.143,3.57308002966037e-05
"MT-ATP8",2.62915629046731e-09,1.08458836039459,0.797,0.691,5.2065182020124e-05
"MTRNR2L10",8.27849228221402e-09,0.907095145621343,0.783,0.552,0.000163938982664684
"MT-ND6",9.5744164648179e-09,1.27319464959027,0.877,0.784,0.000189602169252789
"MT-CO2",5.94276219923894e-08,0.930946287348836,0.971,0.969,0.00117684519831529
"MTRNR2L8",6.82488951054001e-08,0.961781649471549,0.768,0.62,0.00135153286977224
"MT-ND2",2.8448112247788e-07,0.959279466073938,0.978,0.973,0.00563357966842946
"MTRNR2L12",3.55156008712443e-07,0.67453960093216,0.877,0.706,0.00703315444053252
