"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"FTH1",2.85214614296366e-207,2.40296225487929,1,0.479,5.64810500691093e-203
"TENM1",8.1419271082038e-14,0.365826004267774,0.997,0.992,1.6123458252376e-09
"PCDH11X",4.82331790254669e-11,0.385109271724227,0.997,0.994,9.55161644241321e-07
"CFAP47",1.05958805105202e-10,0.258550893765914,0.997,0.988,2.09830221749831e-06
"IL1RAPL2",3.65486855937623e-10,0.224140048327398,1,0.997,7.23773620813274e-06
"TRPM4",1.32757426876297e-09,0.140091946270088,0.798,0.853,2.62899532443131e-05
"DACH2",1.3874098614715e-09,0.215019635483752,1,0.993,2.747487748672e-05
"HTR2C",1.90899022966288e-09,0.312011906287143,0.997,0.981,3.78037335180139e-05
"VSIG1",5.52725346584587e-09,0.441529432602144,0.822,0.687,0.000109456200384146
"SEMA6B",7.08000244351954e-09,0.120801573571857,0.197,0.341,0.000140205288389017
"GABRA3",8.62858223446986e-09,0.619840045650536,0.992,0.983,0.000170871813989207
"NRK",1.21787219758429e-08,0.327690582910451,0.973,0.918,0.000241175231287616
"EDA",1.23692251639047e-08,0.250083653629113,1,0.994,0.000244947765920805
"ACP7",1.60698997603548e-08,0.127181040995026,0.577,0.717,0.000318232224954307
"DMD",1.80569029676494e-08,0.195122458624059,1,0.999,0.000357580849468361
"AFF2",3.18966973522667e-08,0.225057997545714,0.997,0.991,0.000631650297666938
"RUVBL2",4.11837652919903e-08,0.854419685973633,0.439,0.595,0.000815562104077284
"XRCC6",4.15340549463677e-08,0.374185280303806,0.771,0.872,0.000822498890102919
"TAB3",7.11943948246499e-08,0.369987997878193,0.981,0.955,0.00140986260071254
"RPS6KA6",1.16187042871494e-07,0.283858958563559,0.947,0.93,0.00230085200998419
"HDX",1.64475937183e-07,0.280348180240018,0.981,0.959,0.00325711698403495
"HBB",1.84165213550946e-07,0.97478747856105,0.529,0.391,0.00364702372394938
"MBNL3",1.95136748670455e-07,0.338336010199364,0.926,0.835,0.00386429303392102
"MSH2",2.08702072538447e-07,0.0708396767902804,0.989,0.985,0.00413292714247887
"CYLC1",2.25079404564968e-07,0.40902177293294,0.662,0.515,0.00445724744860007
"DAPK3",2.75835847416335e-07,1.40145696048941,0.125,0.243,0.00546237728638568
"UBAP2",2.8269087874024e-07,0.0233645820199271,0.979,0.978,0.00559812747169297
"FRMPD4",3.43231885902553e-07,0.167485666023994,1,0.994,0.00679702103652825
"ZNF335",4.23071677785071e-07,0.104117807108119,0.301,0.443,0.00837808843517776
"PAK3",5.85161683954029e-07,0.236653922621677,0.997,0.981,0.0115879568273416
"HAGH",6.23066592785759e-07,0.675189238680593,0.471,0.613,0.0123385877369364
"NEXMIF",6.52555594189979e-07,0.180845709325323,0.997,0.975,0.0129225584317442
"MFSD12",8.0640983003118e-07,1.3486729921202,0.332,0.466,0.0159693338641075
"THEMIS2",9.77914767784541e-07,0.00997204058796397,0.274,0.406,0.0193656461464373
"FGF13",1.06420496961872e-06,0.153850416357149,1,0.995,0.0210744510133595
"ABCB7",1.34233956582146e-06,0.00358026611215234,0.984,0.93,0.0265823504219623
"CTCF",1.39382440442895e-06,0.0796595178462837,0.934,0.947,0.0276019046809065
"GRIA3",2.02293775368117e-06,0.245275451755089,0.995,0.987,0.0400602363361482
"SYT5",2.08666541135766e-06,2.5684612102624,0.117,0.214,0.0413222351411157
"COL4A6",2.12057407945694e-06,0.177310874783957,0.995,0.98,0.0419937284954858
"MTRNR2L10",2.24890882286078e-06,0.21641247498093,0.681,0.548,0.0445351414191121
"ADD2",2.38422329155178e-06,0.341680430387502,0.963,0.969,0.0472147738425999
"MOSPD2",2.46214741834175e-06,0.638089219302968,0.904,0.807,0.0487579053254218
"CNKSR2",2.49079176204139e-06,0.228544347501938,0.992,0.975,0.0493251492637056
"CDC42EP1",2.55309272689033e-06,1.30803061210702,0.165,0.23,0.0505588952706092
"LRCH2",2.56437130733001e-06,0.392351599114504,0.952,0.927,0.0507822449990562
"KANK4",2.65793779589115e-06,0.070591747854395,0.854,0.896,0.0526351421720325
"CLEC12A",2.80975208483741e-06,0.124836652619997,0.84,0.728,0.0556415205360353
"LSMEM2",3.04340533978042e-06,0.230969887167085,0.165,0.28,0.0602685559436716
"ASNA1",3.20236669451594e-06,1.62048200713792,0.285,0.373,0.0634164676514992
"KCNAB2",3.27123330597637e-06,0.226361724958301,0.697,0.763,0.0647802331582501
"CAVIN1",3.33924732465523e-06,1.77032408624978,0.396,0.527,0.0661271147701475
