"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"PALD1",4.10929510340358e-293,1.8169294490354,0.995,0.761,8.1376370932701e-289
"PCDH9",1.24762682834864e-30,-0.568057693107168,1,1,2.47067540817881e-26
"SHROOM2",2.87238140405406e-29,0.523381181866706,0.941,0.898,5.68817689444825e-25
"NLGN4Y",2.83226778877e-28,-1.31329206697414,0.329,0.499,5.60873990210122e-24
"NHSL2",4.79320210532418e-26,0.30073127250534,0.981,0.971,9.49197812917346e-22
"USP9Y",1.07796350435714e-25,-1.46645820630423,0.212,0.375,2.13469112767845e-21
"NHS",1.41590764542866e-25,0.304631955646709,0.986,0.981,2.80392191024237e-21
"TMEM164",2.06888850656659e-25,0.372237165889344,0.982,0.964,4.09701990955383e-21
"CDH23",1.32515125585797e-24,0.27017907197759,0.976,0.971,2.62419703197553e-20
"UTY",1.85743949162013e-24,-1.7218629396005,0.329,0.475,3.67828742525534e-20
"PLXNA2",2.60117092637622e-24,0.286061991332504,0.974,0.97,5.15109878550282e-20
"CELF4",4.15159417739871e-24,0.348756213686118,0.96,0.947,8.22140194950266e-20
"COL27A1",5.06312527029812e-24,0.658723720532694,0.902,0.859,1.00265069727714e-19
"CCDC120",1.18095861252081e-23,0.426813952543806,0.4,0.238,2.33865234037496e-19
"PLEKHA6",1.60032667770851e-23,0.387189661783877,0.949,0.923,3.16912691986617e-19
"COL13A1",2.24630640737912e-23,0.428065440464353,0.931,0.882,4.44836057853288e-19
"BCOR",2.76601706583705e-23,0.295478210631161,0.879,0.774,5.47754359547711e-19
"SLC16A2",6.58163431566018e-23,0.340134779246051,0.949,0.914,1.30336104353019e-18
"SEPT9",1.62392027687697e-22,0.302462632609124,0.943,0.906,3.21584932429947e-18
"PCDH11Y",2.08873377910181e-22,-1.0710195676116,0.736,0.774,4.13631950275532e-18
"SDK2",4.37755434028279e-22,0.319069128125102,0.971,0.965,8.66887086006201e-18
"PLAC1",1.05268954109048e-21,0.309364227843104,0.978,0.97,2.08464109822148e-17
"MAP3K15",1.24221025299992e-21,0.332889874010236,0.973,0.949,2.45994896401574e-17
"MICAL2",1.4589548564961e-21,0.286647414986738,0.977,0.977,2.88916830231923e-17
"ZNF185",1.75162854560625e-21,0.426489614163536,0.779,0.626,3.46875000886406e-17
"BCORL1",1.94531065445235e-21,0.280927545518885,0.871,0.781,3.852298689012e-17
"PUDP",2.43657383457141e-21,0.47580484258995,0.921,0.87,4.82514716460176e-17
"TMEM104",2.81658463203652e-21,0.460323426091522,0.761,0.646,5.57768254682192e-17
"COL4A6",2.91157382841343e-21,0.322061364942377,0.987,0.979,5.76578965240711e-17
"ZBTB7C",3.1915147325162e-21,0.345071146796864,0.991,0.989,6.32015662480182e-17
"NFATC1",5.00579269710225e-21,0.347140332408397,0.781,0.659,9.91297127807158e-17
"KLHL29",5.34804426043114e-21,0.339938777433325,0.973,0.966,1.05907320489318e-16
"IQSEC2",9.02649450677482e-21,0.359465507174183,0.898,0.831,1.78751670717662e-16
"GPSM1",1.03380834245928e-20,0.305256245909632,0.369,0.22,2.0472506605721e-16
"FSTL4",1.29160128621997e-20,0.312036510630673,0.992,0.99,2.55775802710141e-16
"EFHC2",1.64207585270384e-20,0.328440895166482,0.984,0.974,3.25180281110941e-16
"BMF",2.1327797657067e-20,0.587807287765118,0.489,0.343,4.22354377002897e-16
