"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","diff_pct"
"PALD1",4.10929510340358e-293,1.8169294490354,0.995,0.761,8.1376370932701e-289,0.234
"SHROOM2",2.87238140405406e-29,0.523381181866706,0.941,0.898,5.68817689444825e-25,0.0429999999999999
"COL27A1",5.06312527029812e-24,0.658723720532694,0.902,0.859,1.00265069727714e-19,0.043
"BMF",2.1327797657067e-20,0.587807287765118,0.489,0.343,4.22354377002897e-16,0.146
"ADAMTS2",2.66005147350733e-19,0.55212671601251,0.936,0.917,5.26769993298656e-15,0.019
"ELF4",1.28764357432615e-18,0.817231795666502,0.698,0.564,2.54992057023808e-14,0.134
"VOPP1",1.83901051943613e-18,0.503081790766804,0.952,0.928,3.64179253163938e-14,0.0239999999999999
"CCDC102A",6.07316742757924e-18,1.24932318316538,0.523,0.37,1.20266934568352e-13,0.153
"CFAP65",6.17568848667487e-18,0.827014396343525,0.558,0.423,1.22297159101622e-13,0.135
"MAPKAPK3",1.24178750574551e-17,0.564180073471678,0.647,0.518,2.45911179762784e-13,0.129
"GLRA4",1.33319713775729e-17,0.571474714773039,0.543,0.389,2.64013029190076e-13,0.154
"RAP1GAP",1.64941636604503e-17,0.700433339584138,0.705,0.613,3.26633922967897e-13,0.092
"PDZD4",2.17862394684962e-17,0.953956714028639,0.481,0.335,4.31432900194629e-13,0.146
"PLXND1",2.35191037600515e-17,0.712884652272754,0.606,0.461,4.657488117603e-13,0.145
"SLC12A7",2.52770102135957e-17,0.589932327532627,0.554,0.418,5.00560633259837e-13,0.136
"RHBDF2",2.63811648061602e-17,0.734212020437895,0.599,0.458,5.22426206656391e-13,0.141
"JAG2",2.96662282070911e-17,1.1864718440804,0.236,0.125,5.87480317185026e-13,0.111
"MEGF6",3.89501090827583e-17,0.519724348185107,0.662,0.553,7.71329010165862e-13,0.109
"OSGIN1",4.65301978389035e-17,0.971440206275985,0.365,0.229,9.21437507803806e-13,0.136
"PDIA4",5.25705307435318e-17,0.568080934299807,0.625,0.482,1.04105422031416e-12,0.143
"ASIC4",5.61318894032056e-17,0.980284092704392,0.443,0.3,1.11157980585168e-12,0.143
"ADGRA1",7.33512498891737e-17,1.10927235460359,0.553,0.417,1.45257480155531e-12,0.136
"FES",8.65873811058948e-17,0.642890132768846,0.305,0.187,1.71468990804004e-12,0.118
