Gene,Freq_In_Subgroup,Freq_In_Rest,Difference,Fold_Change
MT-ND4,0.8048780487804879,0.3985529092553512,0.40632513952513666,2.0144467231650074
MT-CYB,0.6829268292682927,0.3207717817304793,0.3621550475378134,2.12239502667242
MT-CO2,0.7317073170731707,0.3699125716008441,0.3617947454723266,1.9727218031870708
MT-ND1,0.6829268292682927,0.3237865541151643,0.3591402751531284,2.1026942791053393
MT-ATP6,0.6829268292682927,0.35574314139282487,0.32718368787546787,1.9143376565053378
MT-CO3,0.6585365853658537,0.3391618932770576,0.3193746920887961,1.9359504941062986
MT-ND5,0.5853658536585366,0.3026831474223696,0.2826827062361669,1.92755461943496
MT-ND2,0.6341463414634146,0.3590593910159783,0.27508695044743636,1.761227056664308
MT-ND6,0.5121951219512195,0.2646970153753392,0.24749810657588034,1.9277413456363546
MT-ATP8,0.5121951219512195,0.27223394633705156,0.23996117561416797,1.874566205325725
MT-CO1,0.5121951219512195,0.30449201085318056,0.20770311109803896,1.6766236227283222
MT-ND3,0.4878048780487805,0.30449201085318056,0.18331286719559992,1.5967844025984022
HSP90AA1,0.43902439024390244,0.2683147422369611,0.17070964800694133,1.630153576433701
TTC7A,0.3902439024390244,0.22279167922821827,0.16745222321080613,1.74378200201564
FTL,0.3170731707317073,0.1582755501959602,0.1587976205357471,1.990720925726549
RBM25,0.3902439024390244,0.23213747362074164,0.15810642881828277,1.6738789194990462
SLTM,0.3170731707317073,0.1594814591498342,0.15759171158187313,1.975762012704973
LAMP2,0.3170731707317073,0.16912873078082605,0.14794443995088127,1.863725011504302
DNM1L,0.36585365853658536,0.2203798613204703,0.14547379721611506,1.6526058709873988
STMN2,0.43902439024390244,0.2966536026529997,0.14237078759090271,1.474950702194963
DMAC1,0.3902439024390244,0.2505275851673199,0.13971631727170453,1.5514954440461406
SPOCK2,0.2926829268292683,0.15465782333433825,0.13802510349493002,1.8802969266800877
PRKAR1A,0.3170731707317073,0.18028338860416038,0.13678978212754694,1.7490470206514588
COMMD6,0.34146341463414637,0.20500452215857703,0.13645889247556933,1.657553004449565
NDUFA4,0.24390243902439024,0.10823032861018993,0.1356721104142003,2.232918660299965
HADHB,0.34146341463414637,0.20922520349713597,0.1322382111370104,1.6242743921938851
HMGB1,0.34146341463414637,0.21193849864335243,0.12952491599079394,1.6035776377199804
PLP1,0.36585365853658536,0.24208622249020198,0.12376743604638338,1.5050365865606872
SCAF11,0.3170731707317073,0.19776906843533312,0.1193041022963742,1.5951836632713448
