Gene,Freq_In_Subgroup,Freq_In_Rest,Difference,Fold_Change
MT-ND4,0.7597840755735492,0.5030621172353456,0.25672195833820366,1.5073223112674576
MT-CO3,0.6707152496626181,0.47331583552055995,0.19739941414205814,1.4140688533548758
MT-ND2,0.6720647773279352,0.4794400699912511,0.19262470733668413,1.398852467364293
MT-ND1,0.6248313090418354,0.4409448818897638,0.1838864271520716,1.4138218014202273
MT-ATP6,0.6464237516869096,0.48118985126859143,0.16523390041831815,1.340600076891365
MT-ND3,0.5222672064777328,0.36876640419947504,0.1535008022782578,1.4124247106992158
MT-ND6,0.4601889338731444,0.3110236220472441,0.14916531182590032,1.4748528680417226
MT-ATP8,0.4709851551956815,0.3219597550306212,0.14902540016506033,1.4583400806426343
MT-ND5,0.5182186234817814,0.3700787401574803,0.14813988332430106,1.3965193027815528
MT-CO2,0.699055330634278,0.5511811023622047,0.1478742282720733,1.265989233683935
MT-CYB,0.5155195681511471,0.37707786526684167,0.1384417028843054,1.363527504545396
MT-CO1,0.5236167341430499,0.4238845144356955,0.09973221970735435,1.232374248420148
ZDHHC8,0.13630229419703105,0.18635170603674542,-0.05004941183971437,0.7275209662104597
ROBO3,0.1862348178137652,0.23665791776027997,-0.05042309994651478,0.7836255554574703
ZMIZ2,0.1484480431848853,0.19903762029746283,-0.05058957711257753,0.742100625692997
C13orf46,0.2078272604588394,0.2585301837270341,-0.05070292326819473,0.8007826198644614
ARHGEF1,0.10931174089068826,0.16010498687664043,-0.05079324598595217,0.6785124595453352
LMO1,0.26720647773279355,0.31802274715660545,-0.0508162694238119,0.8375781354601158
PDGFRB,0.25101214574898784,0.30183727034120733,-0.050825124592219495,0.8288680764628871
LZTS2,0.1214574898785425,0.17235345581802275,-0.050895965939480245,0.700634950168182
H6PD,0.1794871794871795,0.23053368328958881,-0.051046503802409327,0.7752097964195015
CHID1,0.19298245614035087,0.2440944881889764,-0.05111203204862552,0.7873798287603868
RNPEPL1,0.1282051282051282,0.17935258092738407,-0.051147452722255876,0.7108582951565735
SHISA7,0.1484480431848853,0.199912510936133,-0.05146446775124769,0.7388690853207974
KLHL26,0.24156545209176788,0.29308836395450566,-0.051522911862737775,0.821404318224359
WFS1,0.16869095816464239,0.2204724409448819,-0.0517814827802395,0.7616792294560238
SPEG,0.24426450742240216,0.29615048118985127,-0.051885973767449106,0.8220229240225934
CNOT3,0.17543859649122806,0.2274715660542432,-0.05203296956301515,0.7678793449928725
MGRN1,0.17543859649122806,0.2274715660542432,-0.05203296956301515,0.7678793449928725
KCNIP2,0.19298245614035087,0.24540682414698162,-0.05242436800663075,0.7831863293901181
DPYSL4,0.16059379217273953,0.21303587051618547,-0.05244207834344594,0.7503125143717224
SLC9A3R1,0.15519568151147098,0.20778652668416447,-0.052590845172693496,0.7433223013774187
FBLN2,0.30634278002699056,0.35914260717410323,-0.05279982714711268,0.8506152116539094
PTCD3,0.21052631578947367,0.26334208223972005,-0.05281576645024638,0.7964161967921427
NINJ1,0.14439946018893388,0.19728783902012248,-0.052888378831188604,0.7282315491585949
KCNH6,0.20512820512820512,0.25809273840769903,-0.05296453327949391,0.791717307049427
ZFPM1,0.21592442645074225,0.2690288713910761,-0.05310444494033387,0.7996345921767167
CYHR1,0.1349527665317139,0.18810148731408574,-0.053148720782371844,0.7136525917829816
GGA1,0.145748987854251,0.19903762029746283,-0.05328863244321183,0.7286078870440332
ADSSL1,0.17139001349527666,0.22484689413823272,-0.05345688064295606,0.7588770000546257
DTX1,0.23346828609986506,0.2869641294838145,-0.05349584338394944,0.8107547510114017
ULK1,0.13360323886639677,0.18722659667541558,-0.05362335780901881,0.7098000029017514
GNA11,0.16464237516869096,0.21828521434820647,-0.05364283917951551,0.7508138460591909
KCNQ4,0.28879892037786775,0.3425196850393701,-0.05372076466150233,0.8407055925914961
APC2,0.1282051282051282,0.18197725284339458,-0.05377212463826639,0.7006615642811929
EPHB3,0.19163292847503374,0.24540682414698162,-0.053773895671947874,0.7777095019118656
ARHGEF40,0.13360323886639677,0.18766404199475065,-0.054060803128353874,0.7081542272380347
AMOTL2,0.12550607287449392,0.17979002624671916,-0.054283953372225247,0.694209052789335
JADE2,0.18488529014844804,0.23928258967629046,-0.05439729952784242,0.7694493820693632
BICD2,0.22267206477732793,0.2773403324584427,-0.05466826768111477,0.7999992771819144
TRIOBP,0.20512820512820512,0.25984251968503935,-0.05471431455683423,0.7864063166384536
ANKFY1,0.2253711201079622,0.2804024496937883,-0.0550313295858261,0.8008854235391436
TBKBP1,0.15654520917678813,0.21172353455818022,-0.055178325381392085,0.7359092142857037
TKT,0.14439946018893388,0.199912510936133,-0.055513050747199116,0.7187181102665938
WDR1,0.20242914979757085,0.25809273840769903,-0.055663588610128184,0.7812999740619345
LRPAP1,0.20242914979757085,0.25809273840769903,-0.055663588610128184,0.7812999740619345
ZC3H7B,0.23076923076923078,0.28652668416447946,-0.05575745339524868,0.8026010922771237
CAPN5,0.26045883940620784,0.31627296587926507,-0.055814126473057224,0.8209298220048246
ESPNL,0.20917678812415655,0.2650918635170604,-0.05591507539290383,0.7861074192926055
PNPLA7,0.23481781376518218,0.2909011373578303,-0.056083323592648116,0.8044429558947833
AMPD2,0.15519568151147098,0.21128608923884515,-0.05609040772737417,0.7310685408918095
WNT10A,0.20242914979757085,0.2585301837270341,-0.05610103392946328,0.7799830712965533
PDE6B,0.1767881241565452,0.2331583552055993,-0.05637023104905409,0.7549938758380798
GPT2,0.16059379217273953,0.2169728783902012,-0.05637908621746168,0.7367604325766379
PFKFB4,0.22402159244264508,0.2804024496937883,-0.056380857251143224,0.7960897024401069
SIDT2,0.14304993252361672,0.1994750656167979,-0.05642513309318117,0.7135547360141654
DCAF7,0.18893387314439947,0.24540682414698162,-0.05647295100258215,0.7667558469553605
RARG,0.20242914979757085,0.2589676290463692,-0.05653847924879837,0.778670600413348
