Gene,Freq_In_Subgroup,Freq_In_Rest,Difference,Fold_Change
MT-ND3,0.5070422535211268,0.2978855721393035,0.20915668138182325,1.6964427218481002
HSP90AA1,0.44366197183098594,0.2627487562189055,0.18091321561208046,1.6821386314434656
MT-CO3,0.5,0.3361318407960199,0.16386815920398012,1.4830993086248498
MT-ATP6,0.5140845070422535,0.3529228855721393,0.1611616214701142,1.452532537451492
MT-ND4,0.5563380281690141,0.39676616915422885,0.15957185901478527,1.3986559725578396
MT-CO2,0.5211267605633803,0.36784825870646765,0.1532785018569126,1.412848639684367
MT-ND2,0.5070422535211268,0.3560323383084577,0.15100991521266904,1.4201577815706659
CRYAB,0.2887323943661972,0.1501865671641791,0.13854582720201808,1.9097754501737707
MT-ND4L,0.4647887323943662,0.33675373134328357,0.12803500105108262,1.3761172394627603
MT-ND1,0.4507042253521127,0.32276119402985076,0.12794303132226192,1.392088470338906
MT-ND6,0.3873239436619718,0.26243781094527363,0.12488613271669818,1.4702670898766093
NUCKS1,0.3028169014084507,0.18407960199004975,0.11873729941840094,1.6361441139512
FTL,0.2676056338028169,0.15547263681592038,0.1121329969868965,1.7102391782253727
PTMA,0.2605633802816901,0.14956467661691542,0.11099870366477471,1.7305744357598996
MT-ATP8,0.38028169014084506,0.27052238805970147,0.1097593020811436,1.4005537180868854
EI24,0.29577464788732394,0.1881218905472637,0.10765275734006025,1.5639366073987429
MAP1B,0.31690140845070425,0.2105099502487562,0.10639145820194804,1.4982813247225366
MT-CO1,0.4084507042253521,0.3025497512437811,0.10590095298157104,1.3455807575257244
SPP1,0.2535211267605634,0.1517412935323383,0.10177983322822506,1.65980738343615
PLP1,0.3380281690140845,0.23942786069651742,0.09860030831756708,1.405944253027997
RPS15,0.1619718309859155,0.06436567164179105,0.09760615934412445,2.4779341651002027
LMO1,0.2746478873239437,0.17879353233830847,0.09585435498563522,1.5275737884005334
ELFN1,0.2746478873239437,0.1791044776119403,0.0955434097120034,1.524936475570086
LAMP2,0.2605633802816901,0.1669776119402985,0.09358576834139162,1.5511792153248247
MPHOSPH8,0.2676056338028169,0.17506218905472637,0.09254344474809051,1.5199494862558796
PDGFRB,0.2676056338028169,0.17599502487562188,0.091610608927195,1.5119387338196029
REEP5,0.2746478873239437,0.18407960199004975,0.09056828533389394,1.4839446614906233
SERINC1,0.24647887323943662,0.15640547263681592,0.0900734006026207,1.5658850299833038
CCT2,0.29577464788732394,0.20833333333333334,0.0874413145539906,1.412936216022248
RPS27A,0.1619718309859155,0.07555970149253731,0.08641212949337819,2.1156277758175923
ARPC2,0.28169014084507044,0.19558457711442787,0.08610556373064257,1.4329208576779875
SNRPC,0.31690140845070425,0.23134328358208955,0.0855581248686147,1.3639361705015214
TRIM2,0.34507042253521125,0.25963930348258707,0.08543111905262418,1.3239385538730344
CAPN5,0.2676056338028169,0.1828358208955224,0.08476981290729449,1.4556773130460932
UCHL1,0.2535211267605634,0.16884328358208955,0.08467784317847382,1.4926767865862074
DNM1L,0.3028169014084507,0.21859452736318408,0.08422237404526661,1.3789820039896823
NDRG1,0.2746478873239437,0.1906094527363184,0.08403843458762528,1.4333733717297228
DYNC1I2,0.2746478873239437,0.1921641791044776,0.08248370821946607,1.4218365361384815
SECISBP2L,0.28169014084507044,0.19962686567164178,0.08206327517342865,1.404049950648692
PON2,0.28169014084507044,0.19993781094527363,0.0817523298997968,1.4018772251967555
BTF3,0.22535211267605634,0.14365671641791045,0.0816953962581459,1.5578406468526387
SLCO1A2,0.3028169014084507,0.22170398009950248,0.0811129213089482,1.3597282871781382
MRPS33,0.30985915492957744,0.22885572139303484,0.0810034335365426,1.3480593524132607
ZNF791,0.23943661971830985,0.15858208955223882,0.08085453016607103,1.5003978227765393
RPL21,0.18309859154929578,0.10261194029850747,0.08048665125078831,1.7671572506198239
ARPC3,0.28169014084507044,0.20211442786069653,0.07957571298437391,1.3868544140954087
GOT2,0.28169014084507044,0.20242537313432835,0.07926476771074209,1.384734541738121
SEPT7,0.30985915492957744,0.2316542288557214,0.07820492607385604,1.3318440694311817
S100B,0.19718309859154928,0.11940298507462686,0.07778011351692242,1.6376927737242843
DYRK4,0.30985915492957744,0.2325870646766169,0.07727209025296053,1.326525316624674
SDHD,0.23943661971830985,0.16262437810945274,0.07681224160885711,1.463330968678422
AMZ1,0.2676056338028169,0.19092039800995025,0.07668523579286662,1.3943574345283645
MICALL2,0.2323943661971831,0.15671641791044777,0.07567794828673532,1.4734950823517807
HMGN3,0.2535211267605634,0.17786069651741293,0.07566043024315044,1.417422226888633
ZNF280D,0.21830985915492956,0.14272388059701493,0.07558597855791463,1.5189532751835797
TMSB4X,0.18309859154929578,0.10758706467661691,0.07551152687267887,1.686191556006985
PRDX6,0.2605633802816901,0.1853233830845771,0.07523999719711302,1.3984470224191534
ZRANB2,0.21830985915492956,0.14365671641791045,0.07465314273701912,1.5091581266384937
NPL,0.2746478873239437,0.20024875621890548,0.07439913110503821,1.3647184334654936
STARD3,0.23943661971830985,0.1654228855721393,0.07401373414617055,1.4387241207551427
APOD,0.21830985915492956,0.14458955223880596,0.0737203069161236,1.4994884989881883
SAR1B,0.3028169014084507,0.22916666666666666,0.07365023474178403,1.3156418598484463
SREK1,0.2323943661971831,0.15920398009950248,0.07319038609768061,1.4506154344782398
CALM2,0.19718309859154928,0.12437810945273632,0.07280498913881296,1.5727075440221185
ELL,0.2676056338028169,0.19496268656716417,0.0726429472356527,1.3655948409908016
MT-CYB,0.39436619718309857,0.32213930348258707,0.0722268937005115,1.220421635291263
SERBP1,0.2746478873239437,0.20398009950248755,0.07066778782145614,1.3398758610740682
UBE2B,0.23943661971830985,0.1691542288557214,0.07028239086258845,1.4071740757106599
SLC26A9,0.23943661971830985,0.16946517412935325,0.0699714455889566,1.4046072515469896
SPAG9,0.30985915492957744,0.24004975124378108,0.06980940368579636,1.2854572690108577
CSDE1,0.2887323943661972,0.21921641791044777,0.06951597645574942,1.3111301923165957
NGDN,0.2746478873239437,0.20677860696517414,0.06786928035876955,1.321829476746745
RAP1GAP,0.28169014084507044,0.21393034825870647,0.06775979258636397,1.3106112893187463
ARGLU1,0.28169014084507044,0.2142412935323383,0.06744884731273212,1.3087179333585854
ATG2A,0.21830985915492956,0.1517412935323383,0.06656856562259125,1.429278580181129
ZNF814,0.2323943661971831,0.166044776119403,0.0663495900777801,1.3912100192290267
APLP2,0.28169014084507044,0.21579601990049752,0.06589412094457292,1.2993326213938672
RPL15,0.18309859154929578,0.11722636815920398,0.0658722233900918,1.548711970097353
MDH1,0.2323943661971831,0.1675995024875622,0.0647948637096209,1.3783810910967969
DDB1,0.2605633802816901,0.1958955223880597,0.06466785789363041,1.3233585869370252
RPS28,0.14084507042253522,0.07680348258706468,0.06404158783547054,1.8102669153006732
CPE,0.28169014084507044,0.21797263681592038,0.06371750402915005,1.2864170836188706
PPP1CA,0.20422535211267606,0.14085820895522388,0.06336714315745218,1.4396442307906039
CALM1,0.19014084507042253,0.12686567164179105,0.06327517342863148,1.4870359075193544
SRSF5,0.28169014084507044,0.21859452736318408,0.06309561348188636,1.2827739571997046
COX6A1,0.13380281690140844,0.0708955223880597,0.06290729451334874,1.8610730189732958
RPS27,0.1619718309859155,0.09919154228855721,0.06278028869735829,1.616621795474788
SLC5A11,0.323943661971831,0.26119402985074625,0.06274963212108475,1.2355112057899857
MT-ND5,0.36619718309859156,0.3034825870646766,0.06271459603391494,1.2026867829417314
SLC5A10,0.24647887323943662,0.1837686567164179,0.06271021652301872,1.3339863893567798
OAT,0.2887323943661972,0.22605721393034825,0.06267518043584894,1.2716283678825036
PRKACB,0.3028169014084507,0.24036069651741293,0.06245620489103776,1.2546239125830663
COPS8,0.3028169014084507,0.24036069651741293,0.06245620489103776,1.2546239125830663
SGCE,0.3380281690140845,0.27611940298507465,0.061908766029009854,1.2197924987312792
KPNB1,0.23943661971830985,0.17786069651741293,0.061575923200896915,1.3386765476170421
HIP1R,0.2112676056338028,0.14987562189054726,0.06139198374325555,1.400276618492197
TMEM30A,0.3028169014084507,0.2416044776119403,0.0612124237965104,1.24819172502176
TMA7,0.1267605633802817,0.06560945273631841,0.06115111064396328,1.9030416580973686
PIN4,0.2676056338028169,0.20708955223880596,0.06051608156401092,1.286011868081246
LSM3,0.28169014084507044,0.22139303482587064,0.0602971060191998,1.2666320285868138
ITM2B,0.21830985915492956,0.15827114427860697,0.06003871487632259,1.370680546961152
AHCYL1,0.23943661971830985,0.17941542288557213,0.06002119683273771,1.3271405287239313
BCCIP,0.2676056338028169,0.2080223880597015,0.05958324574311538,1.2802725884386255
TSC22D1,0.2887323943661972,0.22916666666666666,0.05956572769953053,1.2544492152043325
COL11A2,0.2323943661971831,0.17288557213930347,0.05950879405787962,1.3364787160777605
NDUFA12,0.2676056338028169,0.20864427860696516,0.05896135519585172,1.2764747770890326
FAM162A,0.31690140845070425,0.25808457711442784,0.05881683133627641,1.223158136158529
FAM131C,0.19718309859154928,0.138681592039801,0.058501506551748295,1.4116613056311942
GALNS,0.2323943661971831,0.17475124378109452,0.05764312241608857,1.3222914455538075
FUNDC2,0.2535211267605634,0.19620646766169153,0.057314659098871845,1.2855619278951838
HTATIP2,0.24647887323943662,0.18936567164179105,0.057113201597645574,1.2947653382760793
MDM4,0.23943661971830985,0.18252487562189054,0.0569117440964193,1.3046548535012343
NEMF,0.28169014084507044,0.22512437810945274,0.0565657627356177,1.2457309698325485
CARS,0.22535211267605634,0.16884328358208955,0.05650882909396679,1.326823810298851
CNDP1,0.2887323943661972,0.2325870646766169,0.056145329689580276,1.2360804086729917
HR,0.2112676056338028,0.15547263681592038,0.05579496881788243,1.350188824914768
RPS3A,0.176056338028169,0.12064676616915423,0.05540957185901477,1.4472751193677955
PPP2R5A,0.2605633802816901,0.20553482587064675,0.05502855441104337,1.2615953710629004
TMEM255B,0.24647887323943662,0.1921641791044776,0.05431469413495901,1.2760071478165858
PPT1,0.2676056338028169,0.21361940298507462,0.05398623081774226,1.2468846249722683
EPHB3,0.20422535211267606,0.15049751243781095,0.05372783967486511,1.3480442604396534
ASIC4,0.20422535211267606,0.15049751243781095,0.05372783967486511,1.3480442604396534
GPC1,0.20422535211267606,0.15111940298507462,0.05310594912760144,1.3425332213058572
ZDHHC9,0.20422535211267606,0.15143034825870647,0.052795003853969596,1.3397945648333922
OGFOD1,0.2535211267605634,0.201181592039801,0.05233953472076239,1.2539278388442792
TCEAL4,0.21830985915492956,0.166044776119403,0.05226508303552657,1.3068942604878735
PLEKHB2,0.2676056338028169,0.21548507462686567,0.05212055917595121,1.2361389544478425
GPM6B,0.2887323943661972,0.23662935323383086,0.05210304113236633,1.2150535716102386
SPTBN5,0.2323943661971831,0.1806592039800995,0.0517351622170836,1.2792875951534037
SUMO2,0.2605633802816901,0.208955223880597,0.05160815640109312,1.2410426159716528
MRPL48,0.2676056338028169,0.21641791044776118,0.0511877233550557,1.2308352759517218
ANLN,0.2676056338028169,0.21641791044776118,0.0511877233550557,1.2308352759517218
SYF2,0.2605633802816901,0.2095771144278607,0.05098626585382943,1.2373774851537995
TMEM184B,0.23943661971830985,0.18874378109452736,0.05069283862378249,1.261894425931284
COX5A,0.2746478873239437,0.22419154228855723,0.05045634503538646,1.2196190164727136
ARHGEF16,0.21830985915492956,0.16822139303482586,0.0500884661201037,1.2900842809514117
CAMK2B,0.15492957746478872,0.20553482587064675,-0.05060524840585803,0.7501377881995624
BICD2,0.14084507042253522,0.19185323383084577,-0.05100816340831055,0.7303225754880127
LDLRAP1,0.1056338028169014,0.15733830845771143,-0.05170450564081003,0.6671398971343299
TMEM167A,0.20422535211267606,0.25652985074626866,-0.0523044986335926,0.7930162329565792
NDUFB9,0.08450704225352113,0.13743781094527363,-0.052930768691752506,0.6104332456320616
