Gene,Freq_In_Subgroup,Freq_In_Rest,Difference,Fold_Change
CRYAB,0.30319148936170215,0.1874764239909468,0.11571506537075535,1.6086441101846538
PLP1,0.4095744680851064,0.2961146737080347,0.11345979437707171,1.3785063624544591
FTL,0.3829787234042553,0.2772538664654847,0.1057248569387706,1.3763644267338901
TMSB4X,0.2872340425531915,0.1908713692946058,0.09636267325858572,1.4970135649168306
TUBA1A,0.27925531914893614,0.1980384760467748,0.08121684310216135,1.4030217910395881
SPP1,0.2526595744680851,0.17238777819690682,0.08027179627117831,1.4571936793673759
CALM2,0.22872340425531915,0.15654470011316485,0.0721787041421543,1.4518000547846193
RPL13,0.19680851063829788,0.12787627310448887,0.068932237533809,1.5271120579249808
CALM1,0.19946808510638298,0.13692946058091288,0.0625386245254701,1.4461601188483588
S100B,0.2473404255319149,0.1859675594115428,0.0613728661203721,1.3229055688077023
RPS27,0.21808510638297873,0.16107129385137683,0.0570138125316019,1.345612175978356
APOD,0.21010638297872342,0.15465861938890985,0.05544776358981357,1.3497895831504
MAP1B,0.25,0.1972840437570728,0.05271595624292719,1.2608175386330474
RPL9,0.19148936170212766,0.13994718973972087,0.05154217196240679,1.3585894266905225
RPL34,0.19680851063829788,0.14635986420218786,0.05044864643611002,1.3355638708262045
FAM222A,0.12234042553191489,0.17238777819690682,-0.050047352664991926,0.7055885184305188
TBKBP1,0.15425531914893617,0.20445115050924179,-0.050195831360305615,0.7508126324266913
GNAI2,0.11170212765957446,0.16220294228592982,-0.05050081462635536,0.6844369721219457
MAPK8IP1,0.15425531914893617,0.2048283666540928,-0.05057304750515662,0.749436638187834
YWHAE,0.15159574468085107,0.2021878536401358,-0.05059210895928473,0.746086648217373
ANXA5,0.19148936170212766,0.24217276499434176,-0.0506834032922141,0.7874622049331195
SLC6A7,0.24202127659574468,0.2927197284043757,-0.05069845180863103,0.8239871319183038
PSMB1,0.1595744680851064,0.2104866088268578,-0.050912140741751405,0.7545369844941274
ZDHHC9,0.15425531914893617,0.2052055827989438,-0.05095026365000763,0.7480656782185157
CPNE2,0.13031914893617022,0.18144096567333082,-0.0511218167371606,0.7143085899332107
KLF15,0.125,0.17615993964541682,-0.05115993964541682,0.7055771200316832
RAP1GAP,0.22872340425531915,0.27989437947944174,-0.05117097522412259,0.8142683548143372
SLC1A2,0.15425531914893617,0.2055827989437948,-0.05132747979485863,0.7466997249413034
LFNG,0.13829787234042554,0.1897397208600528,-0.05144184851962727,0.7250606833062094
PDGFA,0.1276595744680851,0.1791776688042248,-0.051518094336139714,0.7085205137535431
HIP1R,0.09840425531914894,0.15013202565069786,-0.05172777033154892,0.6511145132573333
NARS,0.18617021276595744,0.23802338740098075,-0.051853174635023314,0.7788786477770148
RPL4,0.0797872340425532,0.13164843455299888,-0.05186120051044568,0.6014939739878701
STARD3,0.17819148936170212,0.23010184835910977,-0.051910358997407646,0.7710517705804322
CSPG4,0.17287234042553193,0.22482082233119577,-0.05194848190566384,0.7655287880051735
ATP2A2,0.22074468085106383,0.2727272727272727,-0.05198259187620888,0.806440215663136
WFS1,0.1622340425531915,0.2142587702753678,-0.05202472772217631,0.7536698381471523
LLGL1,0.15159574468085107,0.2036967182195398,-0.05210097353868873,0.7405870792626129
DNMT3A,0.15159574468085107,0.2036967182195398,-0.05210097353868873,0.7405870792626129
PCSK6,0.17819148936170212,0.23047906450396077,-0.05228757514225865,0.76979527173894
SUCLG1,0.22606382978723405,0.2783855149000377,-0.05232168511280366,0.8091465653404336
PSMD10,0.2154255319148936,0.2678234628442097,-0.052397930929316106,0.8013643215352017
GJC2,0.10904255319148937,0.16144850999622784,-0.052405956804738474,0.6712437879179157
EI24,0.15691489361702127,0.20935496039230478,-0.05244006677528351,0.7459529041976495
TOMM20,0.19414893617021275,0.24669935873255375,-0.05255042256234099,0.7838087961295026
RPS15A,0.09574468085106383,0.14862316107129386,-0.052878480220230034,0.6399054809799299
SERPINI1,0.19148936170212766,0.24443606186344777,-0.05294670016132011,0.7802005958222463
ETNPPL,0.18882978723404256,0.24179554884949075,-0.05296576161544819,0.7777316681826748
RBM5,0.1702127659574468,0.22331195775179177,-0.05309919179434497,0.7588216324418717
REEP5,0.1622340425531915,0.2153904187099208,-0.0531563761567293,0.7497284007323454
GRIN2C,0.14361702127659576,0.1969068276122218,-0.05328980633562605,0.7256799727900173
FNTA,0.17553191489361702,0.22897019992455678,-0.05343828503093975,0.7632811336042731
ARHGEF16,0.1702127659574468,0.22368917389664278,-0.053476407939195975,0.7575476958037365
WNT4,0.22074468085106383,0.27423613730667673,-0.0534914564556129,0.8020192515821539
ATCAY,0.2712765957446808,0.3247831007167107,-0.053506504972029856,0.8326908152936184
ADSSL1,0.16489361702127658,0.21840814786872878,-0.053514530847452196,0.7515382570018864
ZNF331,0.2154255319148936,0.2689551112787627,-0.053529579363869095,0.7980050123682955
RPL6,0.10904255319148937,0.16258015843078083,-0.053537605239291464,0.6666001197060271
RCN2,0.19946808510638298,0.25311203319502074,-0.05364394808863776,0.7849611944716497
HADHB,0.19148936170212766,0.24519049415314975,-0.05370113245102209,0.777809729660018
PHAX,0.24202127659574468,0.2957374575631837,-0.05371618096743902,0.8156074348794055
ASIC1,0.18617021276595744,0.23990946812523575,-0.053739255359278315,0.7727808052325185
RAB7A,0.18085106382978725,0.23462844209732175,-0.05377737826753451,0.7675264591151956
SIDT2,0.13829787234042554,0.19238023387400982,-0.05408236153358428,0.7151603324180935
CYHR1,0.1276595744680851,0.18181818181818182,-0.05415860735009673,0.6982870806309975
KIAA0930,0.11436170212765957,0.16861561674839684,-0.05425391462073727,0.674240404981698
NDUFAB1,0.15425531914893617,0.2086005281026028,-0.054345208953666624,0.7359490958602248
NDUFB3,0.14893617021276595,0.2033195020746888,-0.054383331861922846,0.7289376133968968
PPFIA4,0.2712765957446808,0.32591474915126367,-0.054638153406582846,0.8298083719042023
SEPT2,0.15691489361702127,0.21161825726141079,-0.05470336364438952,0.7380123214164853
DCAF7,0.18351063829787234,0.23840060354583176,-0.054889965247959416,0.7665420871119081
MYMK,0.1595744680851064,0.21463598642021878,-0.055061518335112386,0.7400177991355164
TCEA2,0.14893617021276595,0.2040739343643908,-0.05513776415162486,0.7262559753114453
NFIX,0.13031914893617022,0.18559034326669183,-0.055271194330521606,0.6984238661799678
RASGRF1,0.1675531914893617,0.22293474160694077,-0.05538155011757906,0.7482233006232583
OTUD5,0.26063829787234044,0.3161071293851377,-0.055468831512797245,0.8219250648123592
ANAPC5,0.19148936170212766,0.24707657487740475,-0.055587213175277095,0.771896184864526
PLA2G4C,0.18085106382978725,0.23651452282157676,-0.05566345899178951,0.7614316029241056
ZNF91,0.12234042553191489,0.17804602036967182,-0.05570559483775693,0.6832903924885998
RFX1,0.22074468085106383,0.2764994341757827,-0.05575475332471888,0.7954779493756825
EIF3F,0.22074468085106383,0.2764994341757827,-0.05575475332471888,0.7954779493756825
NDUFC1,0.15691489361702127,0.21274990569596378,-0.05583501207894251,0.7341050893384524
KLHL26,0.23138297872340424,0.2874387023764617,-0.05605572365305744,0.8021911651142086
ULK1,0.125,0.1810637495284798,-0.05606374952847981,0.6865726995282305
EMC2,0.2127659574468085,0.2689551112787627,-0.05618915383195419,0.7881530986353535
SPSB1,0.21808510638297873,0.2746133534515277,-0.056528247068548976,0.7912719164433863
PKD2,0.18882978723404256,0.24556771029800076,-0.056737923063958196,0.7658333972677267
SNRPF,0.17819148936170212,0.23500565824217276,-0.05681416888047064,0.7550305814229855
NFASC,0.1622340425531915,0.2191625801584308,-0.056928537605239304,0.7368829091503495
MAPKAPK3,0.2127659574468085,0.2697095435684647,-0.0569435861216562,0.785956618455892
LAPTM4A,0.21010638297872342,0.26706903055450776,-0.05696264757578434,0.7837771582346267
PPP2CA,0.15425531914893617,0.21124104111655978,-0.05698572196762361,0.7267930761054896
PCDH1,0.2047872340425532,0.26178800452659373,-0.057000770484040536,0.7792868415416163
CLTC,0.19680851063829788,0.25386646548472275,-0.05705795484642487,0.7722024561528477
CIC,0.13829787234042554,0.1953979630328178,-0.057100090692392275,0.7041716227846831
LDLRAP1,0.13829787234042554,0.1953979630328178,-0.057100090692392275,0.7041716227846831
