Gene,Freq_In_Subgroup,Freq_In_Rest,Difference,Fold_Change
GSE1,0.4477848101265823,0.280997798972854,0.1667870111537283,1.5879017912820217
RBFOX3,0.4208860759493671,0.25421863536316947,0.16666744058619765,1.6491196865403548
PRDM16,0.4240506329113924,0.26559060895084374,0.15846002396054865,1.5906435510996655
GLIS1,0.37183544303797467,0.21753484959647837,0.1543005934414963,1.701492662266745
CAMK2B,0.3275316455696203,0.17461482024944974,0.15291682532017054,1.8650569758542148
LINGO1,0.37341772151898733,0.22633895818048422,0.14707876333850312,1.6425593066302842
INPP5A,0.3829113924050633,0.23697725605282466,0.14593413635223862,1.6090251596146947
CCDC33,0.34651898734177217,0.20212765957446807,0.1443913277673041,1.7059172939209482
RXRA,0.35443037974683544,0.21423330887747616,0.14019707086935929,1.6467264365135914
PLCH2,0.3227848101265823,0.18268525311812178,0.1400995570084605,1.7572712269885393
GRM4,0.3370253164556962,0.20176082171680118,0.13526449473889504,1.6621816463459795
TSNARE1,0.3623417721518987,0.22780630961115186,0.13453546254074686,1.583617920186229
CTIF,0.3924050632911392,0.2582538517975055,0.13415121149363374,1.5135939565427698
MEGF6,0.34335443037974683,0.20983125458547322,0.1335231757942736,1.6285746202802551
HPCAL1,0.3291139240506329,0.19699192956713132,0.13212199448350156,1.6622592889021934
COL5A1,0.34810126582278483,0.21790168745414526,0.13019957836863957,1.5902173705065834
PDE2A,0.3227848101265823,0.19258987527512839,0.1301949348514539,1.6673641101728232
MYO7A,0.31645569620253167,0.18745414526779164,0.12900155093474003,1.6792185481133937
CASZ1,0.3322784810126582,0.20432868672046955,0.12794979429218867,1.6182759765322787
DAB2IP,0.3829113924050633,0.25605282465150403,0.12685856775355925,1.4896214150698026
DAGLA,0.3022151898734177,0.17571533382245047,0.12649985605096725,1.7101809069781093
APBA2,0.36550632911392406,0.2391782831988261,0.12632804591509794,1.521812564591229
ABLIM2,0.3512658227848101,0.22670579603815114,0.12456002674665898,1.5426301345704745
CMIP,0.3686708860759494,0.24468085106382978,0.12399003501211961,1.5006089586532971
IQSEC1,0.3939873417721519,0.2703595011005136,0.12362784067163829,1.4519017766995967
SH3PXD2A,0.3876582278481013,0.2652237710931768,0.12243445675492448,1.456136791452868
OBSCN,0.31329113924050633,0.19112252384446074,0.1221686153960456,1.6306840706201722
HMCN2,0.3259493670886076,0.20396184886280264,0.12198751822580498,1.5902928710737363
PPP2R2C,0.3560126582278481,0.23477622890682318,0.12123642932102494,1.5099599305600115
TSPAN11,0.29430379746835444,0.17388114453411593,0.12042265293423851,1.682878953316442
ZFPM1,0.2800632911392405,0.15994130594277328,0.12012198519646722,1.740157938315873
VAV2,0.3560126582278481,0.23697725605282466,0.11903540217502345,1.4959944665839104
CACNA1I,0.31329113924050633,0.19442406456346295,0.11886707467704338,1.6031349053164672
EPHB2,0.3686708860759494,0.24981658107116655,0.11885430500478283,1.4698824316217871
TNS1,0.37341772151898733,0.25605282465150403,0.1173648968674833,1.4526886527127
KCNIP3,0.30063291139240506,0.18451944240645635,0.11611346898594871,1.62049274993909
FAM178B,0.3291139240506329,0.21313279530447543,0.11598112874615746,1.5369617885138322
RPH3AL,0.3259493670886076,0.21019809244314014,0.11575127464546747,1.543334806285532
MYT1,0.30063291139240506,0.18525311812179016,0.1153797932706149,1.6141094142425172
VAC14,0.29430379746835444,0.1793837123991196,0.11492008506923485,1.6315430786631868
GALNT9,0.3022151898734177,0.18782098312545856,0.11439420674795917,1.6005381651498791
MAP2K3,0.26582278481012656,0.15223771093176816,0.1135850738783584,1.734708664034331
UNC5B,0.314873417721519,0.20212765957446807,0.11274575814705093,1.5501257602295375
PSTPIP1,0.27848101265822783,0.16581071166544387,0.11267030099278397,1.6694432262644519
ARHGEF10L,0.3338607594936709,0.22120322817314747,0.11265753132052342,1.5025018413932154
SARDH,0.2879746835443038,0.17534849596478358,0.1126261875795202,1.6329863318018414
FBRSL1,0.2911392405063291,0.17865003668378576,0.11248920382254335,1.620591044012883
AC099489.1,0.3259493670886076,0.21423330887747616,0.11171605821113145,1.514400205008035
SSPO,0.2800632911392405,0.16837857666911224,0.11168471447012826,1.6534752897726566
ITPR3,0.2927215189873418,0.18121790168745414,0.11150361729988764,1.606436668826463
RARA,0.27689873417721517,0.16581071166544387,0.1110880225117713,1.6599577533879493
ACSF3,0.28955696202531644,0.17865003668378576,0.11090692534153068,1.6117834839910739
COL27A1,0.32436708860759494,0.21349963316214232,0.11086745544545262,1.512203465459555
MYO15A,0.2800632911392405,0.169479090242113,0.1105842008971275,1.642801417707573
